12, 226, 62, 1
136, 185, 103, 1
236, 211, 250, 1
98, 253, 147, 1
198, 57, 206, 0
249, 151, 200, 1
71, 195, 0, 0
90, 179, 20, 0
3, 211, 147, 1
82, 167, 187, 1
41, 146, 75, 0
88, 202, 120, 1
128, 68, 51, 0
244, 233, 200, 1
32, 193, 115, 1
226, 32, 53, 0
215, 229, 211, 1
193, 217, 52, 1
255, 255, 255, 1
210, 182, 17, 0
8, 119, 133, 0
69, 123, 107, 0
47, 28, 146, 0
247, 216, 18, 1
125, 144, 120, 1
172, 112, 26, 0
120, 202, 32, 1
156, 254, 75, 1
185, 27, 108, 0
149, 117, 144, 1
205, 2, 144, 0
103, 129, 54, 0
121, 71, 77, 0
70, 164, 239, 1
131, 26, 229, 0
16, 111, 239, 0
38, 35, 238, 0
0, 0, 0, 0
207, 123, 151, 1
86, 173, 79, 1
190, 12, 212, 0
223, 82, 223, 0
74, 238, 53, 1
9, 62, 98, 0
93, 131, 193, 1
50, 16, 180, 0
194, 101, 60, 0
196, 140, 48, 1
244, 198, 141, 1
54, 8, 67, 0
189, 48, 154, 0
197, 157, 236, 1
251, 189, 98, 1
24, 25, 14, 0
209, 162, 174, 1
57, 215, 233, 1
107, 109, 133, 0
247, 172, 241, 1
45, 75, 212, 0
77, 248, 173, 1
1, 23, 58, 0
28, 159, 196, 1
96, 148, 231, 1
33, 21, 189, 0
135, 20, 237, 0
126, 133, 164, 1
45, 170, 50, 1
56, 59, 92, 0
92, 229, 239, 1
24, 156, 35, 0
70, 254, 45, 1
244, 44, 169, 0
62, 166, 100, 1
169, 119, 117, 0
35, 249, 249, 1
58, 3, 254, 0
96, 19, 55, 0
197, 187, 142, 1
11, 84, 0, 0
30, 8, 87, 0
231, 116, 78, 0
103, 217, 176, 1
172, 71, 238, 0
97, 253, 110, 1
193, 188, 76, 1
157, 250, 128, 1
227, 201, 228, 1
85, 93, 225, 0
230, 18, 212, 0
93, 67, 20, 0
58, 45, 63, 0
21, 117, 103, 0
168, 38, 149, 0
115, 140, 179, 1
223, 79, 147, 0
47, 130, 216, 0
115, 41, 29, 0
71, 222, 6, 1
218, 213, 90, 1
116, 201, 208, 1
187, 101, 229, 0
72, 203, 100, 1
247, 131, 29, 0
